c_aac180,样本数,SHAP均值,就业率,失业率
 ,1,-0.1333905058617109,1.0,0.0
 其他,2,-0.029763144405833487,1.0,0.0
 湖北三峡职业技术学院 ,1,-0.15562546789040213,1.0,0.0
"""武汉地质大学",1,-0.12899294448672563,1.0,0.0
.,2,-0.10809734885486065,0.5,0.5
.三峡大学,1,-0.09265510479018522,0.0,1.0
0,2,-0.10296436543726833,1.0,0.0
04华中农业大学,1,-0.13482422743960804,1.0,0.0
08武汉船舶职业学院,1,-0.19214971881792203,1.0,0.0
1,6,-0.18356763956872046,0.5,0.5
10十堰职业技术学院,2,-0.018763077530782674,1.0,0.0
10荆州职业技术学院,1,-0.16399871298876417,0.0,1.0
12武汉工程职业技术学院,1,-0.16343582105749221,1.0,0.0
13三峡大学科技学院,1,-0.22918688465073986,0.0,1.0
13武汉纺织大学外经贸学院,1,-0.340469035412538,0.0,1.0
15三峡职业技术学院,1,-0.25211529931875654,0.0,1.0
15四川大学网络教育学院,1,-0.1550560821848765,0.0,1.0
15武汉科技大学,1,-0.15173862958390455,1.0,0.0
15武汉警官职业学院,1,-0.1379608750521624,1.0,0.0
15湖北三峡职业技术学院,1,-0.15010602003751433,1.0,0.0
15湖北科技职业学院,1,-0.15010602003751433,1.0,0.0
16宜昌市机电工程学校,2,-0.2481517787659184,0.5,0.5
16武汉科技大学城市学院,1,-0.14503939675572192,1.0,0.0
16武汉职业技术学院,1,-0.1413608974303349,1.0,0.0
16湖北大学知行学院,1,-0.14503939675572192,1.0,0.0
16湖北轻工职业技术学院,1,-0.27021769536179974,0.0,1.0
17华中科技大学,1,-0.0792209114263604,1.0,0.0
17武汉软件工程职业学院,1,-0.13446764094124794,1.0,0.0
17西南民族大学,1,-0.23906601094609847,0.0,1.0
18华中科技大学文华学院,2,-0.02286326659400461,1.0,0.0
2011.06甘肃中医学院国际经济与贸易专业,1,-0.23400032850555952,0.0,1.0
2012/宜昌卫生学校/护理,1,-0.19214585172515486,0.0,1.0
2016.06武汉纺织大学会计学,1,-0.16869086982401127,1.0,0.0
2016.06武汉轻工大学 护理,1,-0.1348063303802408,1.0,0.0
2016.12  湖北三峡职业技术学院  护理,1,-0.1616510734730228,1.0,0.0
2017上海对外经贸大学,1,-0.3298304768725827,0.0,1.0
2017黄冈科技职院,1,-0.1464969061800412,1.0,0.0
2018.06湖北中医药高等专科学校  临床医学,1,-0.1348063303802408,1.0,0.0
2018.07  湖北中医药大学  医学检验,1,-0.13837866064330517,1.0,0.0
2019/三峡旅游职业技术学院/学前教育,1,-0.08364875331343533,0.0,1.0
2020.06  湖北三峡职业技术学院  医学检验,2,-0.1683036200066697,0.5,0.5
2020.06  湖北三峡职业技术学院  医学检验技术,1,-0.157036453861154,1.0,0.0
2020.06  湖北民族大学科技学院  护理,1,-0.10247282120507892,1.0,0.0
2020/三峡大学/会计,1,-0.19453030387276973,1.0,0.0
2020/三峡大学/行政管理,1,-0.1562053962355984,1.0,0.0
2020/武汉大学医学职业技术学院/康复治疗技术,2,-0.03433663121393517,1.0,0.0
2020/武汉科技大学城市学院/护理学,1,-0.22869398072112632,1.0,0.0
2020/武汉纺织大学/机械设计制造及其自动化,1,-0.346537385628131,0.0,1.0
2020/武汉船舶职业技术学院/焊接技术与自动化,1,-0.15010602003751433,1.0,0.0
2020/汉口学院/环境设计,1,-0.1471198551329009,1.0,0.0
2020/湖北三峡职业技术学院/护理,2,-0.0647440635737972,1.0,0.0
2020/湖北三峡职业技术学院/道路桥梁工程技术,1,-0.2198766707463915,1.0,0.0
2020/湖北民族大学/内科学,1,-0.13988570300309033,1.0,0.0
2020/湖北民族大学/生物制药,1,-0.14882476131268893,1.0,0.0
2020/湖北民族大学/统计学,1,-0.1471198551329009,1.0,0.0
2020/湖北生物科技职业学院/药学,1,-0.13090731692151683,1.0,0.0
2020/荆楚理工学院/口腔医学,1,-0.2789184601069107,0.0,1.0
2020/鄂州职业大学/机械设计与制造,1,-0.12478824786219403,1.0,0.0
2021/武汉工商学院/财务管理,1,-0.14321558377837676,1.0,0.0
2021/武汉科技大学城市学院/护理学,1,-0.47439908181134377,0.0,1.0
2021/武汉纺织大学/数字媒体技术,1,-0.1471198551329009,1.0,0.0
2021/武汉船舶职业技术学院/会计,1,-0.14699831395855975,1.0,0.0
2021/武汉铁路职业技术学院/会计,1,-0.17778068882689574,1.0,0.0
2021/武汉铁路职业技术学院/铁道机车,1,-0.12028309035777834,1.0,0.0
2021/河南工业大学/播音与主持艺术,1,-0.1471198551329009,1.0,0.0
2021/湖北三峡职业技术学院/医学检验技术,1,-0.14887365329400176,1.0,0.0
2021/湖北三峡职业技术学院/护理,1,-0.1348063303802408,1.0,0.0
2021/湖北国土资源职业学院/国土资源调查与管理,1,-0.15010602003751433,1.0,0.0
2021/湖北国土资源职业学院/工程地质勘查,1,-0.14065489870324363,1.0,0.0
2021/湖北水利水电职业技术学院/水电站运行与管理,1,-0.15393340578099088,1.0,0.0
2021/西南民族大学/环境工程,1,-0.13414287923162588,1.0,0.0
2022/武汉科技大学/临床医学,1,-0.2687838151438563,0.0,1.0
2022/江汉大学/运动训练,1,-0.14210754784784585,1.0,0.0
2022/湖北商贸学院/电子商务,1,-0.2999375481356629,0.0,1.0
2022/湖北师范大学/广告学,1,-0.14095761314180064,1.0,0.0
20内蒙古民族大学,1,-0.1414001143800343,1.0,0.0
20湖北工程学院,1,-0.13932370516463172,1.0,0.0
20荆楚理工学院,1,-0.14882476131268893,1.0,0.0
20长江大学,1,-0.13932370516463172,1.0,0.0
21湖北三峡职业技术学院,1,-0.15743420788386486,1.0,0.0
CascadiaCommunitycollege,1,-0.16652526061099118,1.0,0.0
l国防信息学院,1,-0.1576953659148401,1.0,0.0
三亚学院,1,-0.11282885080568059,1.0,0.0
三亚学院/酒店管理,1,-0.16226998680621413,1.0,0.0
三峡大学,313,-0.06526159423308558,0.7507987220447284,0.24920127795527158
三峡大学 ,1,-0.16573542978828437,1.0,0.0
三峡大学/2014,1,-0.11384601524038145,1.0,0.0
三峡大学/2015,1,-0.13932370516463172,1.0,0.0
三峡大学/2018,1,-0.2635890191778394,0.0,1.0
三峡大学中医学,1,-0.11761122993167555,1.0,0.0
三峡大学会计专业,1,-0.16562826282614893,1.0,0.0
三峡大学体育学院,1,-0.12194206274171553,1.0,0.0
三峡大学医学院,2,-0.14381803492090917,0.5,0.5
三峡大学工程管理专业,2,-0.012856889243523205,1.0,0.0
三峡大学成人教育,1,-0.18021755352895288,1.0,0.0
三峡大学技术学院,1,-0.1606909345311524,1.0,0.0
三峡大学护理学院,2,-0.025099170228881904,1.0,0.0
三峡大学机械设计制造及其自动化专业,2,-0.05175184949233751,1.0,0.0
三峡大学科技学院,171,0.1716914828111863,0.8538011695906432,0.14619883040935677
三峡大学科技学院/2017,4,0.10017327941089327,1.0,0.0
三峡大学科技学院/2018,5,0.1402440884857375,1.0,0.0
三峡大学科技学院/2019,5,-0.11355986645966379,0.8,0.19999999999999996
三峡大学科技学院物流管,1,-0.1271803153543657,1.0,0.0
三峡大学科技学院环境设计,1,-0.24200727895286622,0.0,1.0
三峡大学网络技术培训学院（北大青鸟）,2,-0.11734785261923646,0.5,0.5
三峡大学职业技术学院,3,-0.18732904847932805,0.6666666666666666,0.33333333333333337
三峡大学职业技术学院/2009,1,-0.16723166272186474,1.0,0.0
三峡大学财务管理,1,-0.1488483083232878,1.0,0.0
三峡工学院,1,-0.11425025126686819,0.0,1.0
三峡广播电视大学,1,-0.20243024747793098,0.0,1.0
三峡旅游职业技术学院,20,-0.1005910035012854,0.6,0.4
三峡旅游职业技术学院/2015,1,-0.26245328410081825,0.0,1.0
三峡旅游职业技术学院/2016,1,-0.15040042965272848,1.0,0.0
三峡旅游职业技术学院/2018,4,-0.10900571726861906,0.75,0.25
三峡旅游职业技术学院/2019,1,-0.13168150435128098,1.0,0.0
三峡水电学院,1,-0.1611075304925075,1.0,0.0
三峡电力学院,1,-0.11815967061387452,1.0,0.0
三峡电力职业学院,45,-0.013065731231030936,0.7555555555555555,0.24444444444444446
三峡电力职业学院/2018,1,-0.17224266389287837,1.0,0.0
三峡电力职业技术学院,5,0.12147983614450727,1.0,0.0
三峡电大,1,-0.11966977867009045,1.0,0.0
三峡电职业学院电子商务专业,1,-0.1504218797154299,1.0,0.0
三峡职业学院,3,-0.16013326878872866,0.3333333333333333,0.6666666666666667
三峡职业技术学校,1,-0.11640050971585668,1.0,0.0
三峡职业技术学院,91,0.06466336824735185,0.8021978021978022,0.19780219780219777
