c_aac182,样本数,SHAP均值,就业率,失业率
10000,4,0.10738663429434014,0.5,0.5
100000,89,0.12532609496222868,0.8426966292134831,0.1573033707865169
100100,2,0.3581124136892845,1.0,0.0
100101,2,0.36007350009609806,1.0,0.0
100200,5,0.18010715849087183,1.0,0.0
100205,1,0.2102406738311803,1.0,0.0
100300,34,0.22834550986105948,0.8529411764705882,0.1470588235294118
100301,19,0.20105195583601496,0.7894736842105263,0.21052631578947367
100305,2,0.22399826021623936,0.5,0.5
100306,5,0.2311212432145739,1.0,0.0
100400,3,0.10205721345128471,0.6666666666666666,0.33333333333333337
100401,1,0.20910321777118923,1.0,0.0
100500,5,0.051959669621395047,1.0,0.0
100501,3,0.1867562964114209,1.0,0.0
100504,1,0.03025653717543734,0.0,1.0
100505,2,0.14592597184268746,0.5,0.5
100506,1,0.11943700150845024,1.0,0.0
100700,66,0.1387733757997404,0.8787878787878788,0.12121212121212122
100701,28,0.30306566702468896,0.9285714285714286,0.0714285714285714
100799,2,0.17372778949263576,0.5,0.5
100800,17,0.33341499092069826,1.0,0.0
100801,8,0.24516029625835337,0.875,0.125
100806,4,0.15420948894413175,0.5,0.5
100851,1,-0.2786688711589473,0.0,1.0
100900,26,0.28885229183260114,0.9230769230769231,0.07692307692307687
100999,5,0.18384326578530513,0.8,0.19999999999999996
10100,4,0.17848366208931254,0.5,0.5
110000,2,0.29119476847935305,0.5,0.5
20000,51,0.11579869582957486,0.803921568627451,0.196078431372549
20100,152,0.012044099894871868,0.8157894736842105,0.1842105263157895
20101,3,0.16351722217797823,1.0,0.0
20103,2,0.0572604012632706,1.0,0.0
20104,1,0.14381570995236817,0.0,1.0
20106,3,0.08313440065161076,1.0,0.0
20111,1,0.16929533750340237,1.0,0.0
20113,4,0.204652598991806,0.75,0.25
20118,1,0.14278209855682825,1.0,0.0
2015-01-10 00:00:00,1,0.40798252162747656,1.0,0.0
20151,1,-0.01215229380419334,0.0,1.0
20153,5,0.12533710541501897,0.8,0.19999999999999996
2016-07-01 00:00:00,2,0.10527331081362357,1.0,0.0
2017-06-30 00:00:00,1,0.11498019392235169,1.0,0.0
2018-06-30 00:00:00,4,0.21736180036631994,1.0,0.0
2018-07-01 00:00:00,1,0.2550256776251668,1.0,0.0
2019-06-10 00:00:00,1,0.15602429360053818,1.0,0.0
2019-06-30 00:00:00,1,0.4287419388719584,1.0,0.0
20199,3,0.1670130851045771,0.6666666666666666,0.33333333333333337
2020-06-30 00:00:00,1,0.12142339528434216,1.0,0.0
2020-07-01 00:00:00,1,0.26657073638149387,1.0,0.0
20200,53,0.27202885799282045,0.7735849056603774,0.2264150943396226
20201,1,0.26956955138736116,1.0,0.0
20203,32,0.11194696014930966,0.8125,0.1875
20205,1,0.2618272853372868,1.0,0.0
20206,1,0.06177743372611472,1.0,0.0
20207,3,0.006410383311780452,0.3333333333333333,0.6666666666666667
20209,3,0.0592854749075599,1.0,0.0
20210,6,0.2870261860750058,1.0,0.0
20214,8,0.23266893375643305,0.875,0.125
20215,2,0.31586578565728884,1.0,0.0
20253,2,0.08960364431790616,1.0,0.0
20255,29,0.3090069279865991,0.896551724137931,0.10344827586206895
20299,1,0.4095661316472692,1.0,0.0
30000,17,0.2955437400335152,0.7647058823529411,0.23529411764705888
30100,6,0.20098811518851686,0.8333333333333334,0.16666666666666663
30101,1,0.2820598755258617,1.0,0.0
30151,2,0.31649583080099614,1.0,0.0
30199,1,0.24721448069518218,1.0,0.0
30200,8,0.19111237884493895,1.0,0.0
30201,1,0.3005044935385543,1.0,0.0
30203,1,0.21437781604803058,1.0,0.0
30300,1,0.20161464208356653,1.0,0.0
30351,1,0.09927455114359623,1.0,0.0
30399,2,0.08721525951852567,1.0,0.0
30499,1,0.11970127237733942,1.0,0.0
40000,45,0.25312771414213286,0.6666666666666666,0.33333333333333337
40100,62,0.1375871182672687,0.8225806451612904,0.17741935483870963
40101,5,0.19071361244285104,0.6,0.4
40102,5,0.23082166063534643,1.0,0.0
40103,1,0.32419961256387825,1.0,0.0
40199,1,0.09246780978699447,1.0,0.0
40201,1,0.2816693998813082,1.0,0.0
40300,13,0.22195635282648063,0.8461538461538461,0.15384615384615385
40301,17,0.3342395504830222,0.7647058823529411,0.23529411764705888
40302,4,0.03906096753865872,0.75,0.25
40400,10,0.2763041802073255,1.0,0.0
40401,1,0.2687297417444429,1.0,0.0
40402,3,0.31460608939240836,1.0,0.0
40414,4,0.03759767527070466,0.75,0.25
40416,2,0.39240456007193425,1.0,0.0
40426,2,0.3808432259071358,0.5,0.5
40427,1,0.03509689230278574,1.0,0.0
40432,6,0.25011155920419087,0.8333333333333334,0.16666666666666663
40433,1,0.4780431617062351,0.0,1.0
40435,4,0.0662586479260796,1.0,0.0
50000,12,0.14685790411668884,0.8333333333333334,0.16666666666666663
50100,18,0.31339828785524815,0.7777777777777778,0.2222222222222222
50101,3,0.28181063993136374,0.6666666666666666,0.33333333333333337
50103,1,-0.06417649125656587,0.0,1.0
50113,1,0.4022819799384702,1.0,0.0
50200,28,0.1611267656344568,0.8214285714285714,0.1785714285714286
50201,24,0.231634389698953,0.6666666666666666,0.33333333333333337
50203,2,0.36945348998712124,1.0,0.0
50204,2,0.23105512379195636,1.0,0.0
50207,1,0.41957707782494275,1.0,0.0
50238,2,0.17605115759875853,0.5,0.5
50300,12,0.27188424642366504,1.0,0.0
50301,1,0.4095661316472692,1.0,0.0
50302,1,0.17295543591055507,1.0,0.0
50304,3,0.20449612991999278,1.0,0.0
50353,2,0.213635238909886,1.0,0.0
